cycle_id,phase,sin_phase,cos_phase,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation
0,0.0,0.0,1.0,-0.0401665926322725,-0.1939821523096557,1.4816002919515767,0.5320620599452215,0.9226626959056606,-0.9569871677932292,0.6760368071533169,-0.1422591609041402,-0.0936480549202263,0.7108166582203648,0.0852536213329426,-0.216421978401205,-4.658470764018057e-05,0.1439203834790876,0.0516951254608015,-0.1911081075928099,0.153739091883668,0.2225686134225534,-0.0259926857014285,0.0002037879907274,0.0498933723647067,-0.0160591430346147,-0.0020480690525415,0.126525924034405,-0.145641925437853,-0.1032072378666349,0.0111253170525293,-0.0396498585271388,0.0757384829590927,0.0189519679982022,0.4123680127616339,-0.7315014084074045,-3.771831678281152,0.1068860549818056,2.5019869925652207,0.0,-0.1926616006976565,-0.147483263357784,-0.2876500633400455,0.0405987231843944,0.4360294571238198,0.4891195333306778,0.0,-0.0006287857735521,0.0039079315490545,0.0002302271563693
0,0.01,0.06279051952931337,0.9980267284282716,-0.0390903011133869,-0.1953109514574142,1.4796752979044456,0.5322165000639675,0.9220119868689703,-0.956150703970858,0.6746831255304722,-0.1363279998806774,-0.1030340563384209,0.6528342353498496,0.085491635624204,-0.1748396442938813,-4.658470764018057e-05,0.1391829015199736,0.0505475296982842,-0.1945930473217599,0.1529435551031986,0.2286783270877184,-0.0210533375689393,0.0002037879907274,0.0498837979109174,-0.0160013964208805,-0.0020447050047383,0.0545172941346222,-0.0457582548625878,-0.1280990974367783,0.0100944839049409,-0.0443113077292176,0.0422629908502809,-0.1574691842024991,0.3827246631875661,-0.5805464516361641,-3.887972052988996,-0.0276206214225253,2.914606959312939,0.0,-0.425350068005472,-0.0412389152877058,-0.208943701180945,-0.1830264398770758,0.2928753200104961,0.2684209439918881,0.0,-0.0006638516822671,0.0038223445794278,0.0002212255426634
0,0.02,0.12533323356430426,0.9921147013144779,-0.0389108606534318,-0.1950597544069526,1.4779223365865877,0.5323440261288609,0.92129898410829,-0.9557969289278062,0.670675683379192,-0.1311126024152636,-0.1106265625395104,0.5944207063240673,0.0847200691167148,-0.1292337552554133,-4.658470764018057e-05,0.132133240477133,0.0504830281150209,-0.1986268753906862,0.151224230951251,0.2331454284851429,-0.0144446143714522,0.0002037879907274,0.0498736670345001,-0.0159448716438814,-0.0020414710813649,-0.0165596144362096,0.0345426238536756,-0.1183169599624505,0.0071354048532073,-0.0501038314488874,0.0177358620259272,-0.3049668023301154,0.3218945810140818,-0.483469118961941,-3.88749849364552,-0.0221698354278833,3.071217471136813,0.0,-0.434921889872941,0.005313208769933,-0.3509427400613772,0.0267114084179919,0.4240641047187697,0.6512552545597574,0.0,-0.0006605719697871,0.0037376684266337,0.0002127464701159
0,0.03,0.1873813145857246,0.9822872507286887,-0.039465907096566,-0.1949924197389148,1.4764266728811917,0.5324687644538136,0.9204201441752106,-0.9555867515603366,0.6661451660310942,-0.1266428525852673,-0.1175255595109893,0.5370204202714783,0.0852542527531056,-0.08366261668715401,-4.658470764018057e-05,0.1261297241864096,0.0507006254868387,-0.2042926622816566,0.1523417230301209,0.2409851499617901,-0.003999717174926804,0.0002037879907274,0.0498650257993141,-0.0158892960411694,-0.0020383212210178,-0.03513988613715701,-0.018898927304203374,-0.07073184861794295,0.009314220361363498,-0.062878367759236,0.012651789591090201,-0.2930446790418034,0.2959392131234309,-0.4414164235572548,-3.7936454646772,0.011052933067419848,2.959618305269276,0.0,-0.4077541681044412,0.023405958254147888,-0.2719473469570047,0.0069904497679586924,0.47387590639506205,0.5204338923727451,0.0,-0.0005423051280269,0.0036893199776386,0.0002083723789114
0,0.04,0.2486898871648548,0.9685831611286311,-0.0398628625008466,-0.195866109427785,1.4765604591890331,0.5326291835302988,0.919371859205702,-0.9554299174222396,0.6618044136500367,-0.1224351886964428,-0.1241626305073221,0.4812109579366299,0.0845180112814505,-0.0438520729830908,-4.658470764018057e-05,0.1207267513908812,0.051014167713197,-0.2044789131137397,0.1527558069789177,0.2480339125026117,-0.0008269956943695,0.0002037879907274,0.0498580689832344,-0.0158343862421068,-0.0020352452594826,-0.0257749457460326,-0.0848354587058286,0.0305716702641161,0.0123110332942754,-0.0736948750362316,0.0107689560383502,-0.2777975067154432,0.2710501604778736,-0.4559916853745589,-3.673413817009528,-0.0487645292061661,2.521598521030453,0.0,-0.3140504529253364,0.0094828746493555,0.0113565791939563,0.0876765727535565,0.5071936779242934,0.1723844415735925,0.0,-0.0004153688160679,0.0036506299443265,0.0002042708825201
0,0.05,0.3090169943749474,0.9510565162951535,-0.0401141426946782,-0.1985224004604703,1.47714628948128,0.5329290574760756,0.9181285045585232,-0.9551907672782776,0.6590175928774723,-0.1182404783523089,-0.1310157342166551,0.4286542720933652,0.0838069921899703,-0.0098327184535425,-4.658470764018057e-05,0.116750601298439,0.0507047235243623,-0.2060905503883867,0.1530742031371184,0.2544801789758633,0.0030957201186444,0.0002037879907274,0.0498531758006951,-0.0157799800479844,-0.002032202995686,-0.0078226748021261,-0.2031159915615332,0.0481831167462428,0.0242013804134198,-0.0861174789350184,0.0148646794463178,-0.1542384447189005,0.2872119729926793,-0.4478691771765131,-3.401195265234032,-0.0325240952954367,2.13086644638408,0.0,-0.2777944081732403,-0.0306984407416253,-0.1229790363863603,-0.0569822152741208,0.3612398034612979,0.2699628436955338,0.0,-0.0002889718922121,0.0036156669467852,0.00020207263349
0,0.06,0.3681245526846779,0.9297764858882515,-0.040241386455219,-0.200797266533512,1.478339434039928,0.5333600184065329,0.916843911282066,-0.9552343539039836,0.6561334356786857,-0.1142326938043994,-0.1379366255705424,0.38101711111892866,0.0844692479355107,0.01933500747477438,-4.658470764012961e-05,0.1116169663867579,0.0502288889545357,-0.208214215714708,0.1522519832406901,0.2596560898325065,0.007637388077765097,0.0002037879907274,0.0498486817071558,-0.0157262193413529,-0.0020292231553685,-0.018440687673267474,-0.1425013080900513,0.09839313784193876,0.0292488463452156,-0.086219233834199,-0.007635082929726096,-0.19034045158159602,0.24455293866619776,-0.48855969967374074,-3.059164992837951,0.07206396484411326,1.8931214909487224,2.208810534618833e-29,-0.3203896248465639,-0.03462322526476248,-0.18878136457625716,0.025319238548202783,0.37582554152191516,0.36723603856410514,-5.9164567891575885e-30,-0.00027726470016590013,0.0035531434633527,0.0001952764373036
0,0.07,0.4257792915650727,0.9048270524660195,-0.0404126930875002,-0.203924641098321,1.4801254648631872,0.5338837855098792,0.9154629312574027,-0.955272133234472,0.654963202421694,-0.1109245331969606,-0.1473812217880837,0.339349504148477,0.0856710713536611,0.047978255463367,-4.658470764012961e-05,0.108524251275777,0.0493083124364792,-0.209860860843506,0.1543763345725508,0.2670164149769717,0.013479843467743,0.0002037879907274,0.0498458848599659,-0.0156732796091226,-0.0020263146317571,0.0093112880904679,-0.2258287937850062,0.122289619174232,0.0406510005453897,-0.0938836513269914,-0.0046390571019723,-0.0416285824994206,0.2257035587500681,-0.7040908149707472,-2.6313790924783325,0.0720680677650152,1.919627468356868,0.0,-0.2146758179005919,-0.072396371791142,0.0084488618088173,0.1049090247500818,0.5364562369897499,0.3292027399069581,0.0,-0.000155543865896,0.0035256576544818,0.0001943278641155
0,0.08,0.4817536741017153,0.8763066800438636,-0.0393552276811843,-0.2068600801873047,1.4820843720517796,0.534711953299764,0.9140687921052802,-0.9556220458517024,0.6542712127564267,-0.1071293329380048,-0.1592145917449864,0.3045475577745909,0.087103050467583,0.0778187352214167,-4.658470764012961e-05,0.1030890047354093,0.0478815569989382,-0.2080436437212901,0.1532546522830928,0.2745536874379927,0.0162655159246741,0.0002037879907274,0.0498437909798837,-0.0156202973113103,-0.0020233650791294,0.099087223019509,-0.1776259732653992,0.1388728540210769,0.0625412561271688,-0.0921729794323629,-0.0316237307367689,-0.0482075928779505,0.2645044810191573,-0.8162718102761457,-2.159469973734521,0.1363951723965134,2.047617652110937,0.0,-0.4033519005016175,-0.1209513901384062,0.0943415516141639,-0.0976441806016804,0.4610259756028518,0.144034912959477,0.0,-0.0001297398719284,0.0035389290142053,0.0001981428740529
0,0.09,0.5358267949789967,0.8443279255020151,-0.0379614809051018,-0.2091855434486824,1.4846001582560626,0.5357429024961825,0.9127076523614724,-0.9562297344282568,0.6536755638115959,-0.1033003257470779,-0.17049313818327097,0.27625213780998603,0.0897594237767317,0.10720987372652536,-4.658470764012961e-05,0.0979261325010296,0.0456202570298187,-0.2074611242052795,0.1541845638907907,0.2801150332371138,0.0166640297317046,0.0002037879907274,0.049842193803685,-0.0155679562118967,-0.0020204672397467,0.07826136159532326,-0.16136227907155254,0.1853589248216898,0.0692274486497754,-0.091077503073156,-0.04253619524715349,-0.02009070814593101,0.24128019260522535,-0.6984969191093074,-1.7625193660709984,0.1509619448157167,1.8573373992680084,0.0,-0.308094027323214,-0.14740201993754973,0.05620453243628107,0.11679778826595605,0.3732381826515999,0.0292760065705249,0.0,-7.284698128794383e-05,0.0034545582395989,0.00018946723283510002
