cycle_id,phase,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation
0,0.0,-0.0401665926322725,-0.1939821523096557,1.4816002919515767,0.5320620599452215,0.9226626959056606,-0.9569871677932292,0.6760368071533169,-0.1422591609041402,-0.0936480549202263,0.7108166582203648,0.0852536213329426,-0.216421978401205,-4.658470764018057e-05,0.1439203834790876,0.0516951254608015,-0.1911081075928099,0.153739091883668,0.2225686134225534,-0.0259926857014285,0.0002037879907274,0.0498933723647067,-0.0160591430346147,-0.0020480690525415
0,0.01,-0.0390903011133869,-0.1953109514574142,1.4796752979044456,0.5322165000639675,0.9220119868689703,-0.956150703970858,0.6746831255304722,-0.1363279998806774,-0.1030340563384209,0.6528342353498496,0.085491635624204,-0.1748396442938813,-4.658470764018057e-05,0.1391829015199736,0.0505475296982842,-0.1945930473217599,0.1529435551031986,0.2286783270877184,-0.0210533375689393,0.0002037879907274,0.0498837979109174,-0.0160013964208805,-0.0020447050047383
0,0.02,-0.0389108606534318,-0.1950597544069526,1.4779223365865877,0.5323440261288609,0.92129898410829,-0.9557969289278062,0.670675683379192,-0.1311126024152636,-0.1106265625395104,0.5944207063240673,0.0847200691167148,-0.1292337552554133,-4.658470764018057e-05,0.132133240477133,0.0504830281150209,-0.1986268753906862,0.151224230951251,0.2331454284851429,-0.0144446143714522,0.0002037879907274,0.0498736670345001,-0.0159448716438814,-0.0020414710813649
0,0.03,-0.039465907096566,-0.1949924197389148,1.4764266728811917,0.5324687644538136,0.9204201441752106,-0.9555867515603366,0.6661451660310942,-0.1266428525852673,-0.1175255595109893,0.5370204202714783,0.0852542527531056,-0.08366261668715401,-4.658470764018057e-05,0.1261297241864096,0.0507006254868387,-0.2042926622816566,0.1523417230301209,0.2409851499617901,-0.003999717174926804,0.0002037879907274,0.0498650257993141,-0.0158892960411694,-0.0020383212210178
0,0.04,-0.0398628625008466,-0.195866109427785,1.4765604591890331,0.5326291835302988,0.919371859205702,-0.9554299174222396,0.6618044136500367,-0.1224351886964428,-0.1241626305073221,0.4812109579366299,0.0845180112814505,-0.0438520729830908,-4.658470764018057e-05,0.1207267513908812,0.051014167713197,-0.2044789131137397,0.1527558069789177,0.2480339125026117,-0.0008269956943695,0.0002037879907274,0.0498580689832344,-0.0158343862421068,-0.0020352452594826
0,0.05,-0.0401141426946782,-0.1985224004604703,1.47714628948128,0.5329290574760756,0.9181285045585232,-0.9551907672782776,0.6590175928774723,-0.1182404783523089,-0.1310157342166551,0.4286542720933652,0.0838069921899703,-0.0098327184535425,-4.658470764018057e-05,0.116750601298439,0.0507047235243623,-0.2060905503883867,0.1530742031371184,0.2544801789758633,0.0030957201186444,0.0002037879907274,0.0498531758006951,-0.0157799800479844,-0.002032202995686
0,0.06,-0.040241386455219,-0.200797266533512,1.478339434039928,0.5333600184065329,0.916843911282066,-0.9552343539039836,0.6561334356786857,-0.1142326938043994,-0.1379366255705424,0.38101711111892866,0.0844692479355107,0.01933500747477438,-4.658470764012961e-05,0.1116169663867579,0.0502288889545357,-0.208214215714708,0.1522519832406901,0.2596560898325065,0.007637388077765097,0.0002037879907274,0.0498486817071558,-0.0157262193413529,-0.0020292231553685
0,0.07,-0.0404126930875002,-0.203924641098321,1.4801254648631872,0.5338837855098792,0.9154629312574027,-0.955272133234472,0.654963202421694,-0.1109245331969606,-0.1473812217880837,0.339349504148477,0.0856710713536611,0.047978255463367,-4.658470764012961e-05,0.108524251275777,0.0493083124364792,-0.209860860843506,0.1543763345725508,0.2670164149769717,0.013479843467743,0.0002037879907274,0.0498458848599659,-0.0156732796091226,-0.0020263146317571
0,0.08,-0.0393552276811843,-0.2068600801873047,1.4820843720517796,0.534711953299764,0.9140687921052802,-0.9556220458517024,0.6542712127564267,-0.1071293329380048,-0.1592145917449864,0.3045475577745909,0.087103050467583,0.0778187352214167,-4.658470764012961e-05,0.1030890047354093,0.0478815569989382,-0.2080436437212901,0.1532546522830928,0.2745536874379927,0.0162655159246741,0.0002037879907274,0.0498437909798837,-0.0156202973113103,-0.0020233650791294
0,0.09,-0.0379614809051018,-0.2091855434486824,1.4846001582560626,0.5357429024961825,0.9127076523614724,-0.9562297344282568,0.6536755638115959,-0.1033003257470779,-0.17049313818327097,0.27625213780998603,0.0897594237767317,0.10720987372652536,-4.658470764012961e-05,0.0979261325010296,0.0456202570298187,-0.2074611242052795,0.1541845638907907,0.2801150332371138,0.0166640297317046,0.0002037879907274,0.049842193803685,-0.0155679562118967,-0.0020204672397467
